ID,City,Club,Stadium,Cap,Country,Trivia Page link,Trivia
223,Cagliari,Cagliari,Stadio Sant'Elia,"23,486",Italy,https://www.stadiumguide.com/santelia/,Stadio Sant’Elia opened in 1970. The first match played at the stadium was a Coppa Italia match between Cagliari and Massese.
224,Catania,Catania,Stadio Angelo Massimio,"20,016",Italy,https://www.stadiumguide.com/angelomassimino/,"The oval-shaped stadium initially consisted of two stands on both sides and a one-tiered Curva Nord. It had a capacity of about 20,000 places."
225,Como,Como,Stadio G. Sinigaglia,"8,028",Italy,https://www.stadiumguide.com/stadio-g-sinigaglia/,The stadium remained largely unchanged until 1990 when the main stand got demolished and replaced with a new one. In the mid-1990s the same was done with the stand on the other side.
226,Cremona,Cremonese,Stadio Giovanni Zini,"16,003",Italy,https://www.stadiumguide.com/stadio-giovanni-zini/,"The stadium underwent a large renovation in 2007 and another large refurbishment in 2017, which included the construction of a roof over the side opposite the main stand."
227,Crotone,Crotone,Stadio Ezio Scida,"9,631",Italy,https://www.stadiumguide.com/stadio-ezio-scida/,"Stadio Ezio Scida opened in 1946 after having been under construction for 11 years. The stadium was named after ex-player Ezio Scida, who died during a team trip in 1946."
228,Empoli,Empoli,Stadio Carlo Castellani,"20,000",Italy,https://www.stadiumguide.com/carlocastellani/,"Stadio Carlo Castellani was built between 1963 and 1965. It officially opened on 12 September 1965, though originally consisted of just one covered stand."
229,Ferrara,S.P.A.L.,Stadio Paolo Mazza,"16,134",Italy,https://www.stadiumguide.com/stadio-paolo-mazza/,"The capacity of the stadium was initially 4,000, but this got expanded after World War 2 to about 25,000. In the next decades, the stadium underwent various redevelopments, which lead to capacity dropping back to 7,500 seats."
230,Florence,Fiorentina,Stadio Artemio Franchi,"43,147",Italy,https://www.stadiumguide.com/artemiofranchi/,"The stadium was initially called Stadio Giovanni Berta, and already very much resembled the stadium of today. It had a capacity of about 45,000 places."
230,Florence,Fiorentina,Stadio Artemio Franchi,"43,147",Italy,https://www.stadiumguide.com/artemiofranchisiena/,"The stadium was initially simply called Stadio Comunale, and only received its current name in 1986. Between 2007 and 2013 “Montepaschi Arena” was added to the stadium name as part of a sponsorship deal."
231,Frosinone,Frosinone,Stadio Benito Stirpe,"16,227",Italy,https://www.stadiumguide.com/stadio-benito-stirpe/,"First plans for a new stadium for the city of Frosinone were made in the 1970s, but took time to turn into actual works. By the 1980s, with the prospect of the upcoming 1990 World Cup, works had started on a concrete main stand, but were soon halted due to financial difficulties."
232,Genova,Genoa,,,Italy,,
233,Sampdoria,Stadio Luigi Ferraris,,"36,599",Italy,,
234,La Spezia,Spezia,Stadio Alberto Picco,"10,336",Italy,https://www.stadiumguide.com/stadio-alberto-picco/,"Stadio Alberto Picco has been the home of Spezia Calcio since 1919. The stadium was built in a rush to provide Spezia with a home for their first league season, but wasn’t finished in time."
235,Lecce,Lecce,Stadio Via Del Mare,"31,533",Italy,https://www.stadiumguide.com/viadelmare/,"Stadio Via Del Mare could initially only hold 16,000 spectators and had a rectangular shape. Its capacity was increased in 1976 with a further 4,500 places."
236,Livorno,Livorno,Stadio Armando Picchi,"19,234",Italy,https://www.stadiumguide.com/armandopicchi/,Construction of Stadio Armando Picchi started in 1933 and soon after a first match was played at the still unfinished ground.
237,Milan,Inter,,,Italy,,
238,Milan,San Siro,,"80,018",Italy,,
239,Modena,Modena,Stadio Alberto Braglia,"21,151",Italy,https://www.stadiumguide.com/albertobraglia/,"The stadium was first named after Cesare Marzari, an ex-player who had died in the African War, but was renamed after the Second World War in honour of three-time Olympic gold medal winner Alberto Braglia, child of the city."
240,Monza,Monza,Stadio Brianteo,"7,499",Italy,https://www.stadiumguide.com/stadio-brianteo/,"However, from approval of the plans in 1980 and the first stone to be laid in 1982, it took until 1988 for the stadium to open. Stadio Brianteo officially opened on 28 August 1988 with a Cup match between Monza and Roma."
241,Naples,Napoli,Stadio San Paolo,"60,240",Italy,https://www.stadiumguide.com/sanpaolo/,Stadio San Paolo was built to provide Napoli with a permanent home after their old home Stadio Partenopeo had been destroyed in the Second World War by air raids.
242,Novara,Novara,Stadio Silvio Piola,"17,875",Italy,https://www.stadiumguide.com/silviopiola/,"Stadio Silvio Piola was built in the 1970s. The stadium officially opened on 18 January 1976. A few days later, Novara played their first match at the stadium against Juventus (2-1)."
243,Padua,Padova,Stadio Euganeo,"18,060",Italy,https://www.stadiumguide.com/euganeo/,Stadio Euganeo opened in March 1991. It replaced Padova’s old Stadio Silvio Appiani that had been the home of the club since 1924.
244,Palermo,Palermo,Stadio Renzo Barbera,"36,349",Italy,https://www.stadiumguide.com/renzobarbera/,Stadio Renzo Barbera opened on 24 January 1932 with a match between Palermo and Atalanta (5-1). It initially only consisted of two stands on both sides and had an athletics track circling the pitch.
245,Parma,Parma,Stadio Ennio Tardini,"27,906",Italy,https://www.stadiumguide.com/enniotardini/,"Stadio Ennio Tardini was built in the 1920s at the initiative of club president Ennio Tardini, who however died before the stadium was completed. It was consequently decided to name the stadium in his honour."
246,Pescara,Pescara,Stadio Adriatico,"20,476",Italy,https://www.stadiumguide.com/stadio-adriatico/,"Stadio Adriatico, in full Stadio Adriatico Giovanni Cornacchia, opened in 1955. The stadium was built as part of a round of investments for the 1960 Olympics in Rome and hosted a few games during the football tournament."
247,Piacenza,Piacenza,Stadio Leonardo Garilli,"17,821",Italy,https://www.stadiumguide.com/leonardogarilli/,"Stadio Leonardo Garilli officially opened on 21 September 1969, though a first match between Piacenza and Torino had already been played a few weeks earlier."
248,Reggio Emilia,Reggiana,,,Italy,,
249,Sassuolo,MAPEI Stadium - Citta del Tricolore,,"20,084",Italy,,
250,Rome,Lazio,,,Italy,,
251,Roma,Stadio Olimpico,,"72,698",Italy,,
252,Siena,Siena,Stadio Artemio Franchi,"15,373",Italy,https://www.stadiumguide.com/artemiofranchi/,"The stadium was initially called Stadio Giovanni Berta, and already very much resembled the stadium of today. It had a capacity of about 45,000 places."
252,Siena,Siena,Stadio Artemio Franchi,"15,373",Italy,https://www.stadiumguide.com/artemiofranchisiena/,"The stadium was initially simply called Stadio Comunale, and only received its current name in 1986. Between 2007 and 2013 “Montepaschi Arena” was added to the stadium name as part of a sponsorship deal."
253,Turin,Juventus,Allianz Stadium,"41,000",Italy,https://www.stadiumguide.com/juventusstadium/,"Allianz Stadium, previously known as Juventus Stadium, replaced Juventus’ old Stadio Delle Alpi, which had only been the home of the club since 1990. Juventus fans had never warmed up to Delle Alpi though, with most complaints involving the distance between stands and pitch, poor sightlines and lack of atmosphere."
254,Turin,Torino,Stadio Olimpico di Torino,"25,300",Italy,https://www.stadiumguide.com/olimpicoditorino/,"Stadio Olimpico di Torino, previously called Stadio Comunale, got built in the 1930s to serve as the host of the Littoriali Games (organised by the Fascist Party) and World Student Games."
255,Udine,Udinese,,,Italy,,
256,Pordenone,Stadio Friuli,,"25,000",Italy,,
257,Varese,--,Stadio Franco Ossola,"9,926",Italy,https://www.stadiumguide.com/francoossola/,"The stadium was initially named Stadio del Littorio, but was renamed Stadio Franco Ossola in 1949, in honour of the Torino striker that died in the Superga air disaster and who started his career at Varese."
258,Venice,Venezia,Stadio Pierluigi Penzo,"7,450",Italy,https://www.stadiumguide.com/pierluigipenzo/,"Stadio Pierluigi Penzo opened in 1913, which makes it the second oldest stadium with a professional club in Italy."
259,Verona,Chievo Verona,,,Italy,,
260,Hellas Verona,Stadio Marcantonio Bentegodi,,"39,221",Italy,,
261,A Coruna,Deportivo de La Coruna,Estadio ABANCA-Riazor,"32,660",Spain,https://www.stadiumguide.com/riazor/,"Estadio ABANCA-Riazor, previously known as Estadio Municipal de Riazor, was built in the early 1940s. It replaced Deportivo’s old ground with the same name, that had become too small for the club."
262,Alcorcon,AD Alcorcon,Estadio Municipal de Santo Domingo,"5,880",Spain,https://www.stadiumguide.com/municipal-santo-domingo/,"Estadio Municipal de Santo Domingo was built in 1999, replacing the old Estadio Municipal that had stood at the same place."
263,Alicante,Alicante CF,Estadio Jose Rico Perez,"29,500",Spain,https://www.stadiumguide.com/josericoperez/,"Estadio José Rico Pérez replaced Hércules’ old Campo de la Viña. It was a project of ambitious club president José Rico Pérez, who decided that the club needed to built a new stadium to match its rising successes. Due to financial difficulties, it however took until May 1973 for building works to start."
264,Almeria,UD Almeria,Estadio de los Juegos Mediterraneos,"15,000",Spain,https://www.stadiumguide.com/estadio-de-los-juegos-mediterraneos/,"The stadium came at a cost of €22 million and officially opened one year before the games on 31 July 2004. It subsequently became the new home of Almería, replacing their old Estadio Juan Rojas."
265,Barakaldo,Barakaldo CF,Campo de Lasesarre,"7,960",Spain,https://www.stadiumguide.com/campo-de-lasesarre/,Campo de Lasesarre got built to replace Barakaldo’s old stadium with the same name with a modern version. It officially opened on 30 September 2003 with a friendly versus Athletic Club (2-3).
266,Barcelona,FC Barcelona,Camp Nou,"99,354",Spain,https://www.stadiumguide.com/noucamp/,"Camp Nou was built between 1954 and 1957, and officially opened on the 24th of September 1957 with a match between FC Barcelona and a selection of players from the city of Warsaw."
267,Barcelona,RCD Espanyol,RCDE Stadium,"40,500",Spain,https://www.stadiumguide.com/cornellaelprat/,"RCDE Stadium, previously known as Estadi Cornellà-El Prat and Power8 Stadium, replaced Espanyol’s old Estadi de Sarrià, which the club left in 1997. Espanyol first moved to Barcelona’s Olympic Stadium, Estadio Olímpico Lluís Companys, but always preferred a proper own home."
268,Bilbao,Athletic Club,Estadio San Mames,"53,000",Spain,https://www.stadiumguide.com/estadio-san-mames/,"Estadio San Mamés replaced Athlétic’s old stadium with the same name, which had served the club for almost 100 years, but did not offer the facilities of modern-day stadiums."
269,Cadiz,Cadiz CF,Nuevo Estadio Ramon de Carranza,"20,000",Spain,https://www.stadiumguide.com/nuevo-ramon-de-carranza/,Estadio Ramon de Carranza officially opened on 3 September 1955 with a match between Cadiz and Barcelona (0-4). Previously Cadiz had played their home games at Campo Mirandilla closer to Cadiz’ historic centre.
270,Cartagena,FC Cartagena,Estadio Cartagonova,"15,105",Spain,https://www.stadiumguide.com/estadio-cartagonova/,"Estadio Cartagonova got built in 1988 to replace Cartagena’s old Estadio El Almarjal, which had been the home of the club from 1925."
271,Cordoba,Cordoba CF,Estadio El Arcangel,"20,989",Spain,https://www.stadiumguide.com/estadio-el-arcangel-cordoba/,"El Nuevo Estadio Municipal ‘El Arcangel’ got built in 1993 to replace Cordoba’s old Estadio El Arcangel, which had fallen into a state of disrepair."
272,Eibar,SD Eibar,Estadio de Ipurua,"7,083",Spain,https://www.stadiumguide.com/estadio-de-ipurua/,"Estadio de Ipurua opened on 14 September 1947 with a match between Eibar and Elgoibar. Before, the local clubs in Eibar had occupied various smaller grounds, but when these clubs consolidated into SD Eibar in the 1940s, a larger ground was needed."
273,Elche,Elche CF,Estadio Martinez Valero,"36,017",Spain,https://www.stadiumguide.com/martinezvalero/,"The stadium, then still simply called Nuevo Estadio, officially opened on the 8 September 1976 with a friendly between Elche and the Mexican national team (3-3)."
274,Getafe,Getafe CF,Coliseum Alfonso Perez,"17,500",Spain,https://www.stadiumguide.com/coliseumalfonsoperez/,"Coliseum Alfonso Pérez replaced Getafe’s old Estadio Las Margaritas, which had become too small after the club celebrated several successes in the 1980s and early 1990s."
275,Gijon,Real Sporting de Gijon,Estadio El Molinon,"30,000",Spain,https://www.stadiumguide.com/elmolinon/,"The first reference to Estadio El Molinón was made in May 1908, though it is likely that football had been played at the site before. The reference by newspaper El Comercio reported on a match played at the ground between La Bella Sportiva and El Balón."
276,Girona,Girona FC,Estadi Municipal de Montilivi,"9,500",Spain,https://www.stadiumguide.com/montilivi/,Estadi Municipal de Montilivi officially opened on 14 August 1970 with a friendly between Girona and Barcelona. The stadium replaced the old Campo Alegre.
277,Granada,Granada CF,Estadio de Los Carmenes,"22,500",Spain,https://www.stadiumguide.com/carmenes/,"Estadio Nuevo Los Cármenes opened on 16 May 1995 with an exhibition match between Real Madrid and Bayer 04 Leverkusen. The stadium replaced Granada’s old stadium with the same name, but which had stood at a different site."
278,Huesca,SD Huesca,Estadio El Alcoraz,"7,683",Spain,https://www.stadiumguide.com/estadio-el-alcoraz/,"The stadium underwent a large redevelopment during the 2008/09 season including the enlargement of the main stand, the construction of a roof on the opposite stand, and improvements to the stadium’s facilities."
279,Irun,Real Union Club de Irun,Stadium Gal,"5,000",Spain,https://www.stadiumguide.com/stadium-gal/,Stadium Gal got built in the 1920s when Real Union was one of Spain’s leading sides. It officially opened on 19 September 1926 with a friendly versus Barcelona. The stadium had a distinct English influence with one covered main stand and open terraces on the other sides.
280,Las Palmas,UD Las Palmas,Estadio de Gran Canaria,"31,250",Spain,https://www.stadiumguide.com/estadio-de-gran-canaria/,Estadio de Gran Canaria was built to provide the Canary Islands with a new principal sports venue and local side Las Palmas with a modern home.
281,Leganes,CD Leganes,Estadio Municipal de Butarque,"10,958",Spain,https://www.stadiumguide.com/estadio-municipal-butarque/,"The stadium is named of the local patron of the city of Leganes, Nuestra Senora de Butarque."
284,Madrid,Atletico de Madrid,Wanda Metropolitano,"68,000",Spain,https://www.stadiumguide.com/nuevoestadioatleticomadrid/,"Wanda Metropolitano is the recently opened new stadium of Atletico Madrid. It replaced Estadio Vicente Calderon, which lacked possibilities for expansion and modernisation being enclosed by a river and a motorway on one side and residential buildings on the other."
285,Madrid,Rayo Vallecano,Campo de Futbol de Vallecas,"14,708",Spain,https://www.stadiumguide.com/vallecas/,"Campo de Futbol de Vallecas, previously also called Estadio Teresa Rivero, was built in the mid 1970s at the site of Rayo’s old Campo de Vallecas. The new stadium officially opened on 10 May 1976 with a match between Rayo and Valladolid (0-1)."
286,Madrid,Real Madrid CF,Estadio Santiago Bernabeu,"81,044",Spain,https://www.stadiumguide.com/bernabeu/,"In 1943, Chamartin had already become too small again, and club-president Santiago Bernabéu decided that Madrid needed a new and modern 100,000-stadium."
287,Madrid,Real Madrid Castilla,Estadio Alfredo di Stefano,"6,000",Spain,https://www.stadiumguide.com/estadio-alfredo-di-stefano/,"The stadium officially opened on 9 May 2006 with a match between Real Madrid and Stade de Reims, the sides of the first 1956 European Cup final won by Real Madrid. The stadium got named after Alfredo di Stefano, one of the great all-time footballers of the club, and includes a statue of the player in front. "
288,Malaga,Malaga CF,Estadio La Rosaleda,"30,044",Spain,https://www.stadiumguide.com/rosaleda/,"The first match at La Rosaleda was played on 13 April 1941. Málaga, then still called Malacitano, beat guests Ferroviaria 6-0. The match had been put forward due to the destruction of the pitch of Malacitano’s old ground by a thunderstorm."
289,Murcia,Real Murcia FC,Estadio Enrique Roca de Murcia,"31,179",Spain,https://www.stadiumguide.com/nuevacondomina/,The stadium officially opened on 11 October 2006 with a friendly between Spain and Argentina (2-1). The first goal was scored by Xavi.
290,Oviedo,Real Oviedo,Estadio Carlos Tartiere,"30,500",Spain,https://www.stadiumguide.com/estadio-carlos-tartiere/,Estadio Carlos Tartiere opened in 2000. It replaced Oviedo’s old stadium with the same name that lacked modern facilities and had seen its capacity reduced due to safety measures.
291,Palma de Mallorca,RCD Mallorca,Iberostar Estadio,"23,142",Spain,https://www.stadiumguide.com/sonmoix/,"Iberostar Estadio, until 2004 called Son Moix, was built for the 1999 Universiade Games that were held at Palma de Mallorca. The stadium became the new home of Mallorca after the games, replacing the old Estadio Lluis Sitjar that had been home to the club since 1945."
292,Pamplona,CA Osasuna,Estadio El Sadar,"23,500",Spain,https://www.stadiumguide.com/sadar/,"The stadium could initially hold about 25,000 spectators, of which 7,000 seated, but it got further expanded in 1989 when a new main stand was built. Soon after, however, capacity decreased again to just under 20,000 when the stadium was turned into an all-seater."
293,Ponferrada,SD Ponferradina,Estadio Municipal El Toralin,"8,400",Spain,https://www.stadiumguide.com/estadio-municipal-el-toralin/,"El Toralin could initially hold about 6,000 spectators, but got later expanded following the Ponferradina’s promotion to the second division."
294,Sabadell,CE Sabadell FC,Estadi Municipal de la Nova Creu Alta,"20,000",Spain,https://www.stadiumguide.com/novacreualta/,Estadi Municipal de la Nova Creu Alta replaced the old Creu Alta stadium. It officially opened on 20 August 1967.
295,San Sebastian,Real Sociedad,Reale Arena,"40,000",Spain,https://www.stadiumguide.com/anoeta/,"Estadio Anoeta opened on 29 July 1993 with the European Youth Athletics Championships. The first match at the stadium was played a few weeks later when Sociedad received Real Madrid for a friendly. The stadium could hold 32,000 spectators."
296,Santa Cruz de Tenerife,CD Tenerife,Estadio Heliodoro Rodriguez Lopez,"22,824",Spain,https://www.stadiumguide.com/estadio-heliodoro-rodriguez-lopez,"Estadio Heliodoro Rodríguez López, at times abbreviated to Estadio HRL, has been the home of Tenerife since 1925. It was Tenerife’s first proper stadium as before they played at an open field without proper stands."
297,Santander,Racing Club de Santander,Campos de Sport de El Sardinero,"22,222",Spain,https://www.stadiumguide.com/sardinero/,Campos de Sport de El Sardinero opened on the 20th of August 1988. It replaced Racing’s previous ground with the same name.
298,Seville,--,Estadio La Cartuja de Sevilla,"60,000",Spain,https://www.stadiumguide.com/estadio-la-cartuja-de-sevilla/,"Estadio La Cartuja de Sevilla, also known as Estadio Olimpico de Sevilla, was built to serve as the centrepiece venue of the 1999 IAAF Athletics World Championships. It also formed part of Seville’s failed bids for the 2004 and 2008 Olympics."
299,Seville,Real Betis Balompie,Estadio Benito Villamarin,"60,721",Spain,https://www.stadiumguide.com/benitovillamarin/,Estadio Benito Villamarín was built in 1929 for the Ibero-American Exposition that was held in Seville that year. The first football played at the stadium was an international between Spain an Portugal on 17 March 1929.
300,Seville,Sevilla FC,Estadio Ramon Sanchez Pizjuan,"42,714",Spain,https://www.stadiumguide.com/ramonsanchez/,"Estadio Ramón Sánchez Pizjuán got built to replace Sevilla’s old Estadio de Nervión, which had become too small for the ambitions of the club."
301,Soria,CD Numancia,Nuevo Estadio Los Pajaritos,"8,727",Spain,https://www.stadiumguide.com/nuevoestadiolospajaritos/,Nuevo Estadio Los Pajaritos opened on 14 January 1999 after a construction period of only 6 months. The stadium came at a cost of €12 million.
302,Tarragona,Gimnastic de Tarragona,Nou Estadi,"14,591",Spain,https://www.stadiumguide.com/nou-estadi-tarragona/,Nou Estadi de Tarragona got built in the early 1970s at the initiative of club president José Luis Calderón who wanted to move the club from their stadium at the Avenida Catalunya to a newer and larger one.
303,Valencia,Levante UD,Estadi Ciutat de Valencia,"26,354",Spain,https://www.stadiumguide.com/ciutatdevalencia/,"Estadi Ciutat de Valencia officially opened on 9 September 1969 with a friendly between Levante and Valencia, won by the visitors."
304,Valencia,Valencia CF,Estadio de Mestalla,"55,000",Spain,https://www.stadiumguide.com/mestalla/,"Estadio de Mestalla opened on the 20th of May 1923 with a friendly between Valencia and Levante. It could initially hold 17,000 fans, but was quickly expanded to a capacity of 25,000."
305,Valladolid,Real Valladolid CF,Estadio Jose Zorrilla,"26,512",Spain,https://www.stadiumguide.com/josezorrilla/,"Estadio José Zorrilla was built to serve as a playing venue for the 1982 World Cup. It replaced the old Estadio José Zorrilla, which had served the club from 1940."
306,Villarreal,Villarreal CF,Estadio El Madrigal,"25,000",Spain,https://www.stadiumguide.com/madrigal/,"Estadio de la Ceramica, better known as El Madrigal, opened on 17 June 1923 with a match between CD Castellon and El Cervantes. The stadium was initially named Campo del Villarreal, but this soon got changed to El Madrigal."
307,Vigo,RC Celta de Vigo,Estadio Municipal de Balaidos,"31,800",Spain,https://www.stadiumguide.com/balaidos/,Estadio Municipal de Balaídos opened in 1928 after a three-year construction period. The first match was played between Celta and Real Union on the 30th of December of that year (7-0).
308,Vitoria-Gasteiz,Deportivo Alaves,Estadio de Mendizorroza,"19,840",Spain,https://www.stadiumguide.com/estadio-mendizorroza/,"Estadio de Mendizorroza (Mendizorrotza in Basque) officially opened on 27 April 1924. Over the years, it underwent several redevelopments, the last major one in 1998 following the club’s promotion to La Liga, which included filling up the corners of the stadium."
309,Zaragoza,Real Zaragoza,Estadio La Romareda,"34,596",Spain,https://www.stadiumguide.com/romareda/,"Estadio La Romareda got further expanded in 1977 when second tiers got added to both ends, which raised capacity to 50,000 places."
